,,"45,041","34,44,81,898","62,664",,,"5,004","2,43,71,541","5,050",,
city,campaignCode,responders,sales,bills,abv,amv,redeemers,redeemers_Sales,redeemers_Bills,redeemers_ABV,redeemers_AMV
BATHINDA,ALT_MW_32,1,2799,1,2799,2799,0,0,0,0,0
KANPUR,ALT_MW_32,1,2599,1,2599,2599,0,0,0,0,0
VISAKHAPATNAM,ALT_MW_32,1,2999,1,2999,2999,0,0,0,0,0
HYDERABAD,ALT_MW_32,1,5498,1,5498,5498,0,0,0,0,0
BHOPAL,ALT_MW_32,1,6298,1,6298,6298,0,0,0,0,0
THIRUVANANTHAPURAM,ALT_MW_32,1,2999,1,2999,2999,0,0,0,0,0
BAREILLY,ALT_MW_32,1,2799,1,2799,2799,1,2799,1,2799,2799
KOLKATA,ALT_MW_32,1,11695,1,11695,11695,0,0,0,0,0
PUNE,ALT_MW_32,1,-1421,1,-1421,-1421,0,0,0,0,0
LUCKNOW,ALT_MW_32,1,1995,1,1995,1995,0,0,0,0,0
DELHI,ALT_MW_32,2,8597,2,4298,4298,0,0,0,0,0
MUMBAI,ALT_MW_32,1,6999,1,6999,6999,0,0,0,0,0
BENGALURU,ALT_MW_32,1,10294,1,10294,10294,0,0,0,0,0
SHIMLA,ALT_MW_32,1,4048,1,4048,4048,0,0,0,0,0
SHILLONG,ALT_MW_32,1,3398,1,3398,3398,0,0,0,0,0
BENGALURU,ALT_MW_32,1,6491,1,6491,6491,0,0,0,0,0
INDORE,ALT_MW_32,1,12728,1,12728,12728,0,0,0,0,0
BENGALURU,ALT_MW_32,1,6898,1,6898,6898,0,0,0,0,0
NOIDA,ALT_MW_32,1,2599,1,2599,2599,0,0,0,0,0
THANE,ALT_SBC_41,6,39322,7,5617,6554,1,2999,1,2999,2999
RAIPUR,ALT_SBC_41,2,4295,3,1432,2148,0,0,0,0,0
DELHI,ALT_SBC_41,3,47187,4,11797,15729,1,6998,1,6998,6998
BENGALURU,ALT_SBC_41,1,3298,1,3298,3298,1,3298,1,3298,3298
CUTTACK,ALT_SBC_41,10,68371,10,6837,6837,0,0,0,0,0
Gurgaon,ALT_SBC_41,130,516552,146,3538,3973,9,34014,9,3779,3779
KOLHAPUR,ALT_SBC_41,9,74805,16,4675,8312,1,3598,1,3598,3598
BILASPUR,ALT_SBC_41,4,45777,4,11444,11444,0,0,0,0,0
MORADABAD,ALT_SBC_41,5,16991,6,2832,3398,1,2595,1,2595,2595
GURUGRAM,ALT_SBC_41,1,2399,1,2399,2399,0,0,0,0,0
BENGALURU,ALT_SBC_41,3,17485,3,5828,5828,1,3495,1,3495,3495
KOLKATA,ALT_SBC_41,5,58469,5,11694,11694,2,20189,2,10094,10094
PATNA,ALT_SBC_41,7,35384,7,5055,5055,0,0,0,0,0
BHUBANESWAR,ALT_SBC_41,10,107552,13,8273,10755,3,17691,3,5897,5897
MEERUT,ALT_SBC_41,2,9758,2,4879,4879,0,0,0,0,0
DELHI,ALT_SBC_41,1,2199,1,2199,2199,0,0,0,0,0
MATHURA,ALT_SBC_41,1,4794,1,4794,4794,0,0,0,0,0
JAIPUR,ALT_SBC_41,2,3494,2,1747,1747,0,0,0,0,0
RAJAHMUNDRY,ALT_SBC_41,2,18893,2,9446,9446,0,0,0,0,0
SHIMLA,ALT_SBC_41,4,31875,4,7969,7969,1,2799,1,2799,2799
JABALPUR,ALT_SBC_41,6,38760,12,3230,6460,2,12192,2,6096,6096
GUWAHATI,ALT_SBC_41,1,3198,1,3198,3198,0,0,0,0,0
CHANDIGARH,ALT_SBC_41,3,42888,3,14296,14296,1,6999,1,6999,6999
LUCKNOW,ALT_SBC_41,7,80101,11,7282,11443,2,7646,2,3823,3823
PATNA,ALT_SBC_41,6,56116,6,9353,9353,0,0,0,0,0
NAGPUR,ALT_SBC_41,4,27523,5,5505,6881,1,1995,1,1995,1995
RUDRAPUR,ALT_SBC_41,2,8189,2,4094,4094,0,0,0,0,0
PUNE,ALT_SBC_41,3,5676,4,1419,1892,0,0,0,0,0
NANDED WAGHALA,ALT_SBC_41,3,20894,4,5224,6965,1,2799,1,2799,2799
BALLARI,ALT_SBC_41,3,18190,4,4548,6063,0,0,0,0,0
MUMBAI,ALT_SBC_41,3,72153,4,18038,24051,0,0,0,0,0
DELHI,ALT_SBC_41,3,25935,3,8645,8645,1,14091,1,14091,14091
MUMBAI,ALT_SBC_41,3,27393,3,9131,9131,2,8797,2,4398,4398
SIWAN,ALT_SBC_41,2,13092,2,6546,6546,0,0,0,0,0
BHUBANESWAR,ALT_SBC_41,3,8593,5,1719,2864,0,0,0,0,0
JAMMU,ALT_SBC_41,6,20713,6,3452,3452,1,2599,1,2599,2599
DELHI,ALT_SBC_41,4,22954,5,4591,5738,0,0,0,0,0
GUWAHATI,ALT_SBC_41,4,63473,4,15868,15868,1,13798,1,13798,13798
MUMBAI,ALT_SBC_41,3,23689,3,7896,7896,0,0,0,0,0
TIRUPATI,ALT_SBC_41,1,1499,1,1499,1499,0,0,0,0,0
AHMEDABAD,ALT_SBC_41,2,11991,3,3997,5996,0,0,0,0,0
Diphu,ALT_SBC_41,3,13909,4,3477,4636,1,1199,1,1199,1199
KOLKATA,ALT_SBC_41,1,5998,1,5998,5998,1,5998,1,5998,5998
DELHI,ALT_SBC_41,3,21375,3,7125,7125,0,0,0,0,0
MUZAFFARPUR,ALT_SBC_41,4,20350,4,5088,5088,3,14083,3,4694,4694
GHAZIABAD,ALT_SBC_41,2,18695,2,9348,9348,0,0,0,0,0
HYDERABAD,ALT_SBC_41,3,14639,3,4880,4880,1,1048,1,1048,1048
THIRUVANANTHAPURAM,ALT_SBC_41,2,16492,2,8246,8246,0,0,0,0,0
VARANASI,ALT_SBC_41,1,10892,1,10892,10892,0,0,0,0,0
GODDA,ALT_SBC_41,2,3589,2,1794,1794,0,0,0,0,0
LUCKNOW,ALT_SBC_41,1,7999,1,7999,7999,0,0,0,0,0
BRAHMAPUR,ALT_SBC_41,9,48267,10,4827,5363,2,9490,2,4745,4745
PURNIA,ALT_SBC_41,2,19385,2,9692,9692,0,0,0,0,0
UDUPI,ALT_SBC_41,2,18095,2,9048,9048,0,0,0,0,0
BHOPAL,ALT_SBC_41,3,19592,4,4898,6531,2,7497,2,3748,3748
BATHINDA,ALT_SBC_41,1,17092,1,17092,17092,0,0,0,0,0
GOA,ALT_SBC_41,3,10472,4,2618,3491,0,0,0,0,0
BOKARO STEEL CITY,ALT_SBC_41,2,6494,2,3247,3247,0,0,0,0,0
PUNE,ALT_SBC_41,1,5998,1,5998,5998,0,0,0,0,0
BHILWARA,ALT_SBC_41,3,18661,6,3110,6220,0,0,0,0,0
ITANAGAR,ALT_SBC_41,2,13296,2,6648,6648,0,0,0,0,0
SAMBALPUR,ALT_SBC_41,4,36042,5,7208,9010,2,5896,2,2948,2948
JAIPUR,ALT_SBC_41,3,16994,3,5665,5665,0,0,0,0,0
CHANDIGARH,ALT_SBC_41,1,204,2,102,204,0,0,0,0,0
MOGA,ALT_SBC_41,6,33525,7,4789,5588,0,0,0,0,0
PATNA,ALT_SBC_41,5,30085,5,6017,6017,1,14896,1,14896,14896
MUMBAI,ALT_SBC_41,5,37590,6,6265,7518,0,0,0,0,0
PATNA,ALT_SBC_41,2,9998,2,4999,4999,0,0,0,0,0
PURI,ALT_SBC_41,7,43525,7,6218,6218,3,8246,3,2749,2749
BENGALURU,ALT_SBC_41,4,80960,5,16192,20240,0,0,0,0,0
MUMBAI,ALT_SBC_41,5,24359,6,4060,4872,0,0,0,0,0
YAMUNANAGAR,ALT_SBC_41,6,55609,8,6951,9268,2,6146,2,3073,3073
DHANBAD,ALT_SBC_41,1,11640,1,11640,11640,0,0,0,0,0
MUMBAI,ALT_SBC_41,4,17545,5,3509,4386,0,0,0,0,0
KOLKATA,ALT_SBC_41,3,15693,3,5231,5231,1,6497,1,6497,6497
SOLAN,ALT_SBC_41,1,2995,1,2995,2995,0,0,0,0,0
NASHIK,ALT_SBC_41,6,61673,7,8810,10279,1,4798,1,4798,4798
NELLORE,ALT_SBC_41,2,8393,2,4196,4196,0,0,0,0,0
GAYA,ALT_SBC_41,3,18385,3,6128,6128,2,11692,2,5846,5846
RAMPUR,ALT_SBC_41,4,16194,4,4048,4048,1,2199,1,2199,2199
MADHEPURA,ALT_SBC_41,3,25721,4,6430,8574,0,0,0,0,0
ALIGARH,ALT_SBC_41,4,16502,4,4126,4126,0,0,0,0,0
PUNE,ALT_SBC_41,4,20394,4,5098,5098,0,0,0,0,0
GONDA,ALT_SBC_41,2,11888,3,3963,5944,2,9293,2,4646,4646
KOCHI,ALT_SBC_41,2,17194,2,8597,8597,0,0,0,0,0
CHHAPRA,ALT_SBC_41,3,20637,4,5159,6879,0,0,0,0,0
MORADABAD,ALT_SBC_41,6,51836,9,5760,8639,0,0,0,0,0
MUMBAI,ALT_SBC_41,3,30289,3,10096,10096,1,3499,1,3499,3499
PATNA,ALT_SBC_41,6,41131,7,5876,6855,2,10096,2,5048,5048
DELHI,ALT_SBC_41,5,61817,6,10303,12363,1,4697,1,4697,4697
VIJAYAWADA,ALT_SBC_41,2,11888,2,5944,5944,0,0,0,0,0
PUNE,ALT_SBC_41,4,26888,4,6722,6722,0,0,0,0,0
KOLKATA,ALT_SBC_41,3,21491,3,7164,7164,0,0,0,0,0
SATNA,ALT_SBC_41,2,9517,4,2379,4758,2,9495,2,4748,4748
INDORE,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
DURGAPUR,ALT_SBC_41,8,79040,8,9880,9880,2,12195,2,6098,6098
ROURKELA,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
KORBA,ALT_SBC_41,1,1999,1,1999,1999,0,0,0,0,0
GOA,ALT_SBC_41,2,9388,2,4694,4694,1,4394,1,4394,4394
RANCHI,ALT_SBC_41,2,12990,2,6495,6495,0,0,0,0,0
BENGALURU,ALT_SBC_41,1,7593,1,7593,7593,0,0,0,0,0
SONIPAT,ALT_SBC_41,3,18285,4,4571,6095,1,2395,1,2395,2395
DEHRADUN,ALT_SBC_41,2,10892,2,5446,5446,0,0,0,0,0
ASANSOL,ALT_SBC_41,4,13386,4,3346,3346,1,1995,1,1995,1995
NAGPUR,ALT_SBC_41,3,26688,3,8896,8896,1,10293,1,10293,10293
BHOPAL,ALT_SBC_41,6,34612,6,5769,5769,0,0,0,0,0
KANPUR,ALT_SBC_41,8,43937,8,5492,5492,1,2399,1,2399,2399
SURAT,ALT_SBC_41,2,53170,2,26585,26585,0,0,0,0,0
MADURAI,ALT_SBC_41,2,9097,2,4548,4548,0,0,0,0,0
DELHI,ALT_SBC_41,4,24737,4,6184,6184,1,2799,1,2799,2799
PANIPAT,ALT_SBC_41,1,20284,2,10142,20284,0,0,0,0,0
ROURKELA,ALT_SBC_41,2,5697,2,2848,2848,1,1199,1,1199,1199
AMRITSAR,ALT_SBC_41,1,9995,1,9995,9995,0,0,0,0,0
JOWAI,ALT_SBC_41,4,16693,4,4173,4173,1,2999,1,2999,2999
GURUGRAM,ALT_SBC_41,7,47807,8,5976,6830,3,9996,3,3332,3332
SALEM,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
HYDERABAD,ALT_SBC_41,1,6098,1,6098,6098,1,6098,1,6098,6098
KULLU,ALT_SBC_41,2,26971,3,8990,13486,0,0,0,0,0
SULTANPUR,ALT_SBC_41,2,11345,2,5672,5672,0,0,0,0,0
Sasaram,ALT_SBC_41,1,6298,1,6298,6298,0,0,0,0,0
KOTTAYAM,ALT_SBC_41,2,9594,2,4797,4797,0,0,0,0,0
AZAMGARH,ALT_SBC_41,4,21948,8,2744,5487,0,0,0,0,0
NAGPUR,ALT_SBC_41,2,15945,2,7972,7972,1,2948,1,2948,2948
FARIDABAD,ALT_SBC_41,2,11836,2,5918,5918,0,0,0,0,0
HARIDWAR,ALT_SBC_41,3,-354,4,-88,-118,0,0,0,0,0
NAHARLAGUN,ALT_SBC_41,2,52670,2,26335,26335,0,0,0,0,0
PUNE,ALT_SBC_41,3,18295,3,6098,6098,2,5998,2,2999,2999
HYDERABAD,ALT_SBC_41,3,40886,4,10222,13629,1,2599,1,2599,2599
BILASPUR,ALT_SBC_41,1,10896,2,5448,10896,1,3999,1,3999,3999
BETTIAH,ALT_SBC_41,1,2999,1,2999,2999,0,0,0,0,0
DEORIA,ALT_SBC_41,3,15108,4,3777,5036,0,0,0,0,0
AMRITSAR,ALT_SBC_41,4,28844,4,7211,7211,0,0,0,0,0
JAIPUR,ALT_SBC_41,3,27834,5,5567,9278,0,0,0,0,0
NAWADA,ALT_SBC_41,2,8189,2,4094,4094,0,0,0,0,0
HALDWANI,ALT_SBC_41,3,6797,3,2266,2266,0,0,0,0,0
AJMER,ALT_SBC_41,1,2999,1,2999,2999,0,0,0,0,0
ONGOLE,ALT_SBC_41,3,20893,3,6964,6964,0,0,0,0,0
MEERUT,ALT_SBC_41,4,18494,4,4624,4624,1,2599,1,2599,2599
GORAKHPUR,ALT_SBC_41,1,1049,2,524,1049,0,0,0,0,0
JAIPUR,ALT_SBC_41,4,47067,8,5883,11767,0,0,0,0,0
CHENNAI,ALT_SBC_41,2,4994,2,2497,2497,0,0,0,0,0
MUMBAI,ALT_SBC_41,2,14838,2,7419,7419,1,2544,1,2544,2544
HYDERABAD,ALT_SBC_41,4,40505,4,10126,10126,0,0,0,0,0
LUDHIANA,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
HISAR,ALT_SBC_41,3,19693,3,6564,6564,0,0,0,0,0
BHUBANESWAR,ALT_SBC_41,7,53183,11,4835,7598,2,6496,2,3248,3248
MAUNATH BHANJAN,ALT_SBC_41,1,4098,1,4098,4098,0,0,0,0,0
ETAH,ALT_SBC_41,2,14213,2,7106,7106,1,5915,1,5915,5915
DIMAPUR,ALT_SBC_41,5,34980,5,6996,6996,1,1998,1,1998,1998
VIZIANAGARAM,ALT_SBC_41,1,7297,1,7297,7297,0,0,0,0,0
BHUBANESWAR,ALT_SBC_41,3,29277,6,4880,9759,1,2596,1,2596,2596
CHENNAI,ALT_SBC_41,5,47764,7,6823,9553,0,0,0,0,0
KANPUR,ALT_SBC_41,3,22583,3,7528,7528,0,0,0,0,0
BIKANER,ALT_SBC_41,3,30770,3,10257,10257,0,0,0,0,0
BAREILLY,ALT_SBC_41,1,7097,1,7097,7097,0,0,0,0,0
REWA,ALT_SBC_41,2,17092,2,8546,8546,0,0,0,0,0
SHILLONG,ALT_SBC_41,3,27389,3,9130,9130,0,0,0,0,0
VISAKHAPATNAM,ALT_SBC_41,3,17890,5,3578,5963,0,0,0,0,0
SANGLI MIRAJ KUPWAD,ALT_SBC_41,6,13403,7,1915,2234,1,2599,1,2599,2599
SATARA,ALT_SBC_41,1,1424,2,712,1424,0,0,0,0,0
MUMBAI,ALT_SBC_41,1,13998,1,13998,13998,0,0,0,0,0
JAIPUR,ALT_SBC_41,3,11917,4,2979,3972,0,0,0,0,0
BARDHAMAN,ALT_SBC_41,3,16680,3,5560,5560,0,0,0,0,0
VARANASI,ALT_SBC_41,4,14094,4,3524,3524,0,0,0,0,0
JAGDALPUR,ALT_SBC_41,3,11192,3,3731,3731,0,0,0,0,0
THIRUVANANTHAPURAM,ALT_SBC_41,3,8498,3,2833,2833,0,0,0,0,0
MUZAFFARNAGAR,ALT_SBC_41,4,6210,6,1035,1552,0,0,0,0,0
MUZAFFARPUR,ALT_SBC_41,1,2799,1,2799,2799,0,0,0,0,0
HYDERABAD,ALT_SBC_41,2,5956,2,2978,2978,0,0,0,0,0
LUCKNOW,ALT_SBC_41,1,2799,1,2799,2799,0,0,0,0,0
KAKINADA,ALT_SBC_41,2,9893,3,3298,4946,0,0,0,0,0
INDORE,ALT_SBC_41,1,1999,1,1999,1999,0,0,0,0,0
BENGALURU,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
RAIPUR,ALT_SBC_41,1,9999,1,9999,9999,0,0,0,0,0
KOTA,ALT_SBC_41,2,16252,2,8126,8126,0,0,0,0,0
LUCKNOW,ALT_SBC_41,3,5194,4,1298,1731,0,0,0,0,0
CHHINDWARA,ALT_SBC_41,1,3548,2,1774,3548,0,0,0,0,0
ROHTAK,ALT_SBC_41,4,19290,5,3858,4822,0,0,0,0,0
BUDAUN,ALT_SBC_41,1,6298,2,3149,6298,0,0,0,0,0
BEED,ALT_SBC_41,1,12793,2,6396,12793,1,6995,1,6995,6995
PUNE,ALT_SBC_41,1,5190,1,5190,5190,0,0,0,0,0
SAHARSA,ALT_SBC_41,1,3995,1,3995,3995,0,0,0,0,0
GORAKHPUR,ALT_SBC_41,3,13189,3,4396,4396,0,0,0,0,0
JHANSI,ALT_SBC_41,1,2299,1,2299,2299,0,0,0,0,0
DALTONGANJ,ALT_SBC_41,1,2999,1,2999,2999,0,0,0,0,0
GUNTUR,ALT_SBC_41,6,26291,6,4382,4382,2,6098,2,3049,3049
LUCKNOW,ALT_SBC_41,1,9797,1,9797,9797,0,0,0,0,0
ETAWAH,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
BENGALURU,ALT_SBC_41,2,10287,2,5144,5144,0,0,0,0,0
BENGALURU,ALT_SBC_41,1,5598,1,5598,5598,0,0,0,0,0
BHAGALPUR,ALT_SBC_41,3,13992,3,4664,4664,0,0,0,0,0
VARANASI,ALT_SBC_41,1,2499,1,2499,2499,0,0,0,0,0
HAZARIBAGH,ALT_SBC_41,2,5394,2,2697,2697,0,0,0,0,0
HYDERABAD,ALT_SBC_41,1,5990,2,2995,5990,0,0,0,0,0
THANE,ALT_SBC_41,3,16337,3,5446,5446,1,6494,1,6494,6494
DHANBAD,ALT_SBC_41,2,11687,3,3896,5844,0,0,0,0,0
PUDUCHERRY,ALT_SBC_41,2,9097,2,4548,4548,0,0,0,0,0
BARAMATI,ALT_SBC_41,2,6897,2,3448,3448,1,2799,1,2799,2799
SILCHAR,ALT_SBC_41,2,8197,2,4098,4098,0,0,0,0,0
BHOPAL,ALT_SBC_41,1,2597,1,2597,2597,0,0,0,0,0
REWA,ALT_SBC_41,4,20793,6,3466,5198,1,6998,1,6998,6998
PATNA,ALT_SBC_41,3,14993,3,4998,4998,1,2799,1,2799,2799
GHAZIABAD,ALT_SBC_41,1,3659,1,3659,3659,0,0,0,0,0
DELHI,ALT_SBC_41,1,6333,1,6333,6333,0,0,0,0,0
KOLKATA,ALT_SBC_41,3,16793,4,4198,5598,0,0,0,0,0
INDORE,ALT_SBC_41,2,7790,2,3895,3895,1,1799,1,1799,1799
SEONI,ALT_SBC_41,2,6998,2,3499,3499,0,0,0,0,0
PATNA,ALT_SBC_41,1,2795,1,2795,2795,0,0,0,0,0
FARIDABAD,ALT_SBC_41,3,36781,3,12260,12260,2,5797,2,2898,2898
RANCHI,ALT_SBC_41,4,19788,4,4947,4947,0,0,0,0,0
JAIPUR,ALT_SBC_41,3,25293,4,6323,8431,1,6498,1,6498,6498
MURWARA KATNI,ALT_SBC_41,1,1595,1,1595,1595,0,0,0,0,0
HAJIPUR,ALT_SBC_41,3,8693,4,2173,2898,1,6098,1,6098,6098
VARANASI,ALT_SBC_41,2,34891,2,17446,17446,0,0,0,0,0
RAIPUR,ALT_SBC_41,3,20085,3,6695,6695,1,2599,1,2599,2599
BEGUSARAI,ALT_SBC_41,3,7294,4,1824,2431,0,0,0,0,0
ANANTAPUR,ALT_SBC_41,1,5194,1,5194,5194,0,0,0,0,0
ALWAR,ALT_SBC_41,2,7997,2,3998,3998,0,0,0,0,0
MUMBAI,ALT_SBC_41,1,4998,1,4998,4998,0,0,0,0,0
CHANDRAPUR,ALT_SBC_41,4,18794,5,3759,4698,1,3198,1,3198,3198
VISAKHAPATNAM,ALT_SBC_41,1,11192,1,11192,11192,0,0,0,0,0
PILIBHIT,ALT_SBC_41,2,9993,3,3331,4996,0,0,0,0,0
MUGHALSARAI,ALT_SBC_41,2,10760,3,3587,5380,0,0,0,0,0
PATIALA,ALT_SBC_41,3,27623,5,5525,9208,2,19092,2,9546,9546
AURANGABAD,ALT_SBC_41,1,5498,2,2749,5498,0,0,0,0,0
KANGRA,ALT_SBC_41,1,3,2,2,3,0,0,0,0,0
PATHANKOT,ALT_SBC_41,1,6298,1,6298,6298,0,0,0,0,0
GANDHINAGAR,ALT_SBC_41,2,10973,3,3658,5486,0,0,0,0,0
UDHAMPUR,ALT_SBC_41,1,1999,1,1999,1999,0,0,0,0,0
PRAYAGRAJ,ALT_SBC_41,2,31110,2,15555,15555,0,0,0,0,0
LUDHIANA,ALT_SBC_41,2,12793,2,6396,6396,0,0,0,0,0
AHMEDABAD,ALT_SBC_41,1,821,2,410,821,0,0,0,0,0
MYSORE,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
HYDERABAD,ALT_SBC_41,1,3498,1,3498,3498,0,0,0,0,0
DELHI,ALT_SBC_41,1,2799,1,2799,2799,0,0,0,0,0
LUCKNOW,ALT_SBC_41,2,5497,2,2748,2748,0,0,0,0,0
AIZAWL,ALT_SBC_41,1,1680,1,1680,1680,0,0,0,0,0
KHAGARIA,ALT_SBC_41,1,5998,1,5998,5998,1,5998,1,5998,5998
DELHI,ALT_SBC_41,1,13068,1,13068,13068,0,0,0,0,0
GHAZIABAD,ALT_SBC_41,2,35875,6,5979,17938,1,1499,1,1499,1499
KARNAL,ALT_SBC_41,2,15090,3,5030,7545,1,6997,1,6997,6997
DEHRADUN,ALT_SBC_41,1,4914,1,4914,4914,0,0,0,0,0
HYDERABAD,ALT_SBC_41,1,3299,1,3299,3299,0,0,0,0,0
JODHPUR,ALT_SBC_41,1,2295,1,2295,2295,1,2295,1,2295,2295
KATIHAR,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
DHANBAD,ALT_SBC_41,3,6311,5,1262,2104,1,2195,1,2195,2195
VADODARA,ALT_SBC_41,3,9794,3,3265,3265,0,0,0,0,0
KARAD,ALT_SBC_41,1,7990,1,7990,7990,0,0,0,0,0
KURNOOL,ALT_SBC_41,1,2995,1,2995,2995,0,0,0,0,0
KOCHI,ALT_SBC_41,2,17291,2,8646,8646,1,6998,1,6998,6998
DELHI,ALT_SBC_41,4,12790,5,2558,3198,0,0,0,0,0
UDAIPUR,ALT_SBC_41,4,17588,4,4397,4397,1,1799,1,1799,1799
KOTHAPET,ALT_SBC_41,1,5797,1,5797,5797,0,0,0,0,0
BHUBANESWAR,ALT_SBC_41,1,2098,1,2098,2098,0,0,0,0,0
AURANGABAD,ALT_SBC_41,1,5898,1,5898,5898,0,0,0,0,0
JAMSHEDPUR,ALT_SBC_41,2,6298,2,3149,3149,1,3499,1,3499,3499
HUBLI-DHARWAD,ALT_SBC_41,2,17989,2,8994,8994,0,0,0,0,0
SAHARANPUR,ALT_SBC_41,1,4136,1,4136,4136,0,0,0,0,0
PARBHANI,ALT_SBC_41,2,36322,2,18161,18161,0,0,0,0,0
RAXAUL BAZAR,ALT_SBC_41,1,2796,1,2796,2796,0,0,0,0,0
RAIPUR,ALT_SBC_41,1,3596,1,3596,3596,0,0,0,0,0
Gurugram,ALT_SBC_41,7,160685,14,11478,22955,0,0,0,0,0
GHAZIABAD,ALT_SBC_41,1,18192,3,6064,18192,1,3594,1,3594,3594
SITAMARHI,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
PANCHKULA,ALT_SBC_41,1,6094,2,3047,6094,1,2595,1,2595,2595
JAIPUR,ALT_SBC_41,1,25206,5,5041,25206,0,0,0,0,0
KHAMMAM,ALT_SBC_41,2,16084,2,8042,8042,1,4598,1,4598,4598
RAIGARH,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
SILIGURI,ALT_SBC_41,1,2195,1,2195,2195,0,0,0,0,0
GIRIDIH,ALT_SBC_41,1,2399,1,2399,2399,0,0,0,0,0
AKOLA,ALT_SBC_41,1,2794,1,2794,2794,1,2794,1,2794,2794
ROHTAK,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
HYDERABAD,ALT_SBC_41,3,9550,3,3183,3183,0,0,0,0,0
CHENNAI,ALT_SBC_41,1,2595,1,2595,2595,0,0,0,0,0
AMBIKAPUR,ALT_SBC_41,1,1695,1,1695,1695,0,0,0,0,0
FARRUKHABAD-CUM-FATEHGARH,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
PUNE,ALT_SBC_41,1,7495,1,7495,7495,0,0,0,0,0
MANDI,ALT_SBC_41,1,2595,1,2595,2595,0,0,0,0,0
AHMEDABAD,ALT_SBC_41,1,3299,1,3299,3299,0,0,0,0,0
NOIDA,ALT_SBC_41,1,2599,1,2599,2599,0,0,0,0,0
SILIGURI,ALT_SBC_41,1,2999,1,2999,2999,0,0,0,0,0
BENGALURU,ALT_SBC_41,1,3499,1,3499,3499,0,0,0,0,0
PATNA,ALT_SBC_39,2,26424,2,13212,13212,1,2599,1,2599,2599
VARANASI,ALT_SBC_39,2,43182,2,21591,21591,0,0,0,0,0
SAHARANPUR,ALT_SBC_39,1,7999,1,7999,7999,0,0,0,0,0
JAIPUR,ALT_SBC_39,1,2799,1,2799,2799,0,0,0,0,0
UDAIPUR,ALT_SBC_39,2,5798,2,2899,2899,0,0,0,0,0
LUCKNOW,ALT_SBC_39,2,10593,2,5296,5296,0,0,0,0,0
MUMBAI,ALT_SBC_39,2,10695,2,5348,5348,0,0,0,0,0
BILASPUR,ALT_SBC_39,2,36681,2,18340,18340,0,0,0,0,0
SATNA,ALT_SBC_39,1,5598,1,5598,5598,0,0,0,0,0
MUMBAI,ALT_SBC_39,1,1098,2,549,1098,1,3495,1,3495,3495
AURANGABAD,ALT_SBC_39,1,10196,1,10196,10196,0,0,0,0,0
PUNE,ALT_SBC_39,3,47388,4,11847,15796,1,4498,1,4498,4498
MEERUT,ALT_SBC_39,6,44205,10,4420,7368,2,13740,3,4580,6870
NANDED WAGHALA,ALT_SBC_39,5,36919,7,5274,7384,2,9794,2,4897,4897
VARANASI,ALT_SBC_39,1,2599,1,2599,2599,0,0,0,0,0
VARANASI,ALT_SBC_39,2,14695,2,7348,7348,1,1199,1,1199,1199
SONIPAT,ALT_SBC_39,1,549,1,549,549,1,549,1,549,549
JAMALPUR,ALT_SBC_39,2,30181,2,15090,15090,1,6098,1,6098,6098
DEHRADUN,ALT_SBC_39,1,549,1,549,549,1,549,1,549,549
KANPUR,ALT_SBC_39,5,23281,5,4656,4656,3,8788,3,2929,2929
PUNE,ALT_SBC_39,3,28735,4,7184,9578,0,0,0,0,0
GURUGRAM,ALT_SBC_39,4,27793,4,6948,6948,1,2998,1,2998,2998
JAMUI,ALT_SBC_39,3,21386,5,4277,7129,3,11393,3,3798,3798
GWALIOR,ALT_SBC_39,1,6685,1,6685,6685,0,0,0,0,0
HYDERABAD,ALT_SBC_39,2,11665,3,3888,5832,0,0,0,0,0
Gurgaon,ALT_SBC_39,46,253884,57,4454,5519,18,83855,18,4659,4659
PUNE,ALT_SBC_39,3,45272,3,15091,15091,0,0,0,0,0
ARRAH,ALT_SBC_39,2,21592,2,10796,10796,1,598,1,598,598
SHIMLA,ALT_SBC_39,1,27988,1,27988,27988,0,0,0,0,0
SHILLONG,ALT_SBC_39,4,23577,4,5894,5894,0,0,0,0,0
KOLKATA,ALT_SBC_39,2,28689,2,14344,14344,0,0,0,0,0
THIRUVANANTHAPURAM,ALT_SBC_39,3,14395,3,4798,4798,1,3499,1,3499,3499
RANCHI,ALT_SBC_39,2,8096,2,4048,4048,2,8096,2,4048,4048
BATHINDA,ALT_SBC_39,2,12796,3,4265,6398,0,0,0,0,0
KARNAL,ALT_SBC_39,3,23790,5,4758,7930,1,2595,1,2595,2595
KANGRA,ALT_SBC_39,2,10998,2,5499,5499,0,0,0,0,0
