,,"45,041","34,44,81,898","62,664",,,"5,004","2,43,71,541","5,050",,
city,campaignCode,responders,sales,bills,abv,amv,redeemers,redeemers_Sales,redeemers_Bills,redeemers_ABV,redeemers_AMV
GUWAHATI,BROD_BROD_2062,115,841495,140,6011,7317,24,117780,24,4908,4908
CHHINDWARA,BROD_BROD_2062,118,839705,140,5998,7116,22,120180,22,5463,5463
MADURAI,BROD_BROD_2285,10,66325,11,6030,6632,2,3697,2,1848,1848
BOKARO STEEL CITY,BROD_BROD_2285,5,28116,7,4017,5623,1,6098,1,6098,6098
Gurgaon,BROD_BROD_2285,30,135098,33,4094,4503,2,3798,2,1899,1899
DELHI,BROD_BROD_2285,16,83864,16,5242,5242,2,4798,2,2399,2399
VIJAYAWADA,BROD_BROD_2135,30,178916,37,4836,5964,4,27936,4,6984,6984
GUWAHATI,BROD_BROD_2135,24,138802,29,4786,5783,3,9488,3,3163,3163
LUCKNOW,BROD_BROD_2135,28,225322,39,5777,8047,5,21584,5,4317,4317
DHANBAD,BROD_BROD_2135,11,96750,12,8062,8795,1,3094,1,3094,3094
RAIPUR,BROD_BROD_2135,7,39475,7,5639,5639,0,0,0,0,0
VISAKHAPATNAM,BROD_BROD_2135,11,59720,11,5429,5429,1,3299,1,3299,3299
Gurgaon,BROD_BROD_1829,59,316716,71,4461,5368,5,23380,5,4676,4676
AIZAWL,BROD_BROD_1829,7,43122,7,6160,6160,0,0,0,0,0
GUWAHATI,BROD_BROD_2450,18,92339,19,4860,5130,1,4998,1,4998,4998
GWALIOR,BROD_BROD_2450,25,157598,29,5434,6304,3,11395,3,3798,3798
RANCHI,BROD_BROD_2450,33,227427,36,6317,6892,0,0,0,0,0
Gurgaon,BROD_BROD_1748,2,5732,2,2866,2866,0,0,0,0,0
MANGALURU,BROD_BROD_1748,5,22684,5,4537,4537,0,0,0,0,0
ALIGARH,BROD_BROD_1952,4,13823,5,2765,3456,0,0,0,0,0
DELHI,BROD_BROD_1952,14,96933,22,4406,6924,0,0,0,0,0
PANIPAT,BROD_BROD_1952,27,229086,35,6545,8485,1,299,1,299,299
VARANASI,BROD_BROD_1952,9,55276,10,5528,6142,0,0,0,0,0
PRAYAGRAJ,BROD_BROD_1952,6,25021,8,3128,4170,0,0,0,0,0
LUCKNOW,BROD_BROD_1952,11,44772,12,3731,4070,0,0,0,0,0
PATHANKOT,BROD_BROD_1952,14,92083,16,5755,6577,0,0,0,0,0
GORAKHPUR,BROD_BROD_1952,10,35307,11,3210,3531,0,0,0,0,0
CALICUT,BROD_BROD_2124,2,6729,2,3364,3364,0,0,0,0,0
MUGHALSARAI,BROD_BROD_2005,11,66282,14,4734,6026,0,0,0,0,0
PANCHKULA,BROD_BROD_2005,14,105062,18,5837,7504,0,0,0,0,0
MAUNATH BHANJAN,BROD_BROD_2005,17,60622,19,3191,3566,0,0,0,0,0
JAIPUR,BROD_BROD_2005,9,36837,12,3070,4093,0,0,0,0,0
VARANASI,BROD_BROD_2005,16,117101,19,6163,7319,0,0,0,0,0
AZAMGARH,BROD_BROD_2005,8,72120,11,6556,9015,0,0,0,0,0
ETAWAH,BROD_BROD_2005,12,41937,13,3226,3495,0,0,0,0,0
KANGRA,BROD_BROD_2005,9,121093,12,10091,13455,0,0,0,0,0
CHANDIGARH,BROD_BROD_1953,34,243951,51,4783,7175,1,9348,1,9348,9348
JAIPUR,BROD_BROD_1953,38,184695,48,3848,4860,3,12994,3,4331,4331
LUCKNOW,BROD_BROD_1953,64,372079,84,4430,5814,2,4797,2,2398,2398
MORADABAD,BROD_BROD_1953,20,136422,29,4704,6821,0,0,0,0,0
VARANASI,BROD_BROD_1953,33,184907,43,4300,5603,3,11695,3,3898,3898
MEERUT,BROD_BROD_1953,37,182684,44,4152,4937,2,6443,2,3222,3222
LUCKNOW,BROD_BROD_1953,23,162107,25,6484,7048,2,7597,2,3798,3798
LUCKNOW,BROD_BROD_1953,48,298797,51,5859,6225,4,17787,4,4447,4447
DELHI,BROD_BROD_1831,37,153320,49,3129,4144,3,8389,3,2796,2796
Gurgaon,BROD_BROD_1831,197,830091,219,3790,4214,14,66449,14,4746,4746
MEERUT,BROD_BROD_2216,3,60656,4,15164,20219,2,7695,2,3848,3848
ROHTAK,BROD_BROD_2216,20,219716,24,9155,10986,1,2399,1,2399,2399
LUCKNOW,BROD_BROD_2216,12,76786,14,5485,6399,0,0,0,0,0
SONIPAT,BROD_BROD_2216,8,65459,10,6546,8182,1,1999,1,1999,1999
Gurgaon,BROD_BROD_2216,7,63061,9,7007,9009,0,0,0,0,0
GURUGRAM,BROD_BROD_2216,6,30669,6,5112,5112,2,13284,2,6642,6642
KANPUR,BROD_BROD_2216,9,59827,9,6647,6647,1,2898,1,2898,2898
PUDUCHERRY,BROD_BROD_2141,7,39269,8,4909,5610,1,4048,1,4048,4048
AJMER,BROD_BROD_2141,33,235668,43,5481,7141,2,6897,2,3448,3448
GOA,BROD_BROD_2141,22,219579,30,7319,9981,1,3499,1,3499,3499
AURANGABAD,BROD_BROD_2141,12,102199,15,6813,8517,0,0,0,0,0
UDUPI,BROD_BROD_2141,8,76582,9,8509,9573,2,21796,2,10898,10898
DELHI,BROD_BROD_2141,11,66612,11,6056,6056,1,6897,1,6897,6897
CHANDIGARH,BROD_BROD_2141,7,53613,12,4468,7659,1,3494,1,3494,3494
Gurugram,BROD_BROD_2017,1,22955,2,11478,22955,0,0,0,0,0
Gurgaon,BROD_BROD_2126,657,3470163,773,4489,5282,68,342810,70,4897,5041
RAIPUR,BROD_BROD_2126,74,307358,82,3748,4153,6,26743,6,4457,4457
KOLKATA,BROD_BROD_2126,72,318729,83,3840,4427,4,11241,4,2810,2810
SHIMLA,BROD_BROD_2126,86,422432,91,4642,4912,14,65656,14,4690,4690
KOLKATA,BROD_BROD_2126,78,383354,82,4675,4915,4,29291,4,7323,7323
KOLKATA,BROD_BROD_2158,15,102834,26,3955,6856,5,11260,5,2252,2252
JAMSHEDPUR,BROD_BROD_2158,10,52169,11,4743,5217,2,13692,2,6846,6846
Gurgaon,BROD_BROD_2158,24,91981,28,3285,3833,3,6443,3,2148,2148
BHUBANESWAR,BROD_BROD_2158,15,77187,18,4288,5146,0,0,0,0,0
GORAKHPUR,BROD_BROD_2158,12,97445,16,6090,8120,5,15583,5,3117,3117
GAYA,BROD_BROD_2158,14,108952,14,7782,7782,1,1999,1,1999,1999
LUCKNOW,BROD_BROD_2158,9,40089,10,4009,4454,3,9097,3,3032,3032
DELHI,BROD_BROD_2053,15,134934,18,7496,8996,0,0,0,0,0
JAMMU,BROD_BROD_2053,33,400571,40,10014,12139,0,0,0,0,0
NOIDA,BROD_BROD_2053,22,177633,27,6579,8074,0,0,0,0,0
DHANBAD,BROD_BROD_2053,9,62214,10,6221,6913,0,0,0,0,0
KANPUR,BROD_BROD_2053,18,151010,21,7191,8389,0,0,0,0,0
KOTA,BROD_BROD_2053,13,77395,16,4837,5953,0,0,0,0,0
PANCHKULA,BROD_BROD_2053,29,244546,34,7193,8433,0,0,0,0,0
Gurgaon,BROD_BROD_1979,21,151712,31,4894,7224,0,0,0,0,0
DEHRADUN,BROD_BROD_1979,17,156939,22,7134,9232,1,3498,1,3498,3498
DELHI,BROD_BROD_1979,31,161272,40,4032,5202,0,0,0,0,0
DEHRADUN,BROD_BROD_1979,23,167380,26,6438,7277,0,0,0,0,0
JAIPUR,BROD_BROD_1979,38,220811,42,5257,5811,1,2498,1,2498,2498
JABALPUR,BROD_BROD_1979,17,167142,22,7597,9832,0,0,0,0,0
SHIMLA,BROD_BROD_1979,9,42452,9,4717,4717,0,0,0,0,0
BASTI,BROD_BROD_1979,16,98261,17,5780,6141,0,0,0,0,0
INDORE,BROD_BROD_2212,31,214499,36,5958,6919,1,3499,1,3499,3499
Gurgaon,BROD_BROD_2212,57,414251,66,6277,7268,7,62779,7,8968,8968
RAIPUR,BROD_BROD_2212,63,582931,68,8573,9253,0,0,0,0,0
HYDERABAD,BROD_BROD_2212,32,163276,39,4187,5102,6,27278,6,4546,4546
JAMMU,BROD_BROD_2212,62,425693,65,6549,6866,5,27987,5,5597,5597
PUNE,BROD_BROD_2212,40,302231,42,7196,7556,1,5998,1,5998,5998
MUMBAI,BROD_BROD_2212,21,181712,21,8653,8653,2,7194,2,3597,3597
JAMALPUR,BROD_BROD_2100,55,394322,68,5799,7169,1,1595,1,1595,1595
BHOPAL,BROD_BROD_2100,40,236369,44,5372,5909,1,2599,1,2599,2599
PATNA,BROD_BROD_2100,35,193935,39,4973,5541,3,12194,3,4065,4065
Gurgaon,BROD_BROD_2100,20,138835,20,6942,6942,1,2199,1,2199,2199
IMPHAL,BROD_BROD_2100,15,109702,18,6095,7313,0,0,0,0,0
PUNJAGUTTA,BROD_BROD_2100,19,86163,19,4535,4535,2,7993,2,3996,3996
PATNA,BROD_BROD_2100,15,128439,18,7136,8563,0,0,0,0,0
MOTIHARI,BROD_BROD_2100,12,56112,13,4316,4676,1,3499,1,3499,3499
DELHI,BROD_BROD_2236,13,77634,17,4567,5972,3,9288,3,3096,3096
VARANASI,BROD_BROD_2236,26,192493,27,7129,7404,4,13394,4,3348,3348
DELHI,BROD_BROD_2236,28,128978,32,4031,4606,5,29286,5,5857,5857
AJMER,BROD_BROD_2236,16,98395,22,4472,6150,1,1098,1,1098,1098
MEERUT,BROD_BROD_2236,6,25730,6,4288,4288,1,2295,1,2295,2295
GONDA,BROD_BROD_2236,15,77542,16,4846,5169,3,10194,3,3398,3398
GURUGRAM,BROD_BROD_2236,15,73438,19,3865,4896,2,5347,2,2674,2674
DELHI,BROD_BROD_2236,14,68920,15,4595,4923,0,0,0,0,0
ETAWAH,BROD_BROD_1995,9,49082,9,5454,5454,2,9797,2,4898,4898
MEERUT,BROD_BROD_1995,15,194267,28,6938,12951,3,18499,3,6166,6166
SILIGURI,BROD_BROD_1995,20,116622,22,5301,5831,5,27404,5,5481,5481
GIRIDIH,BROD_BROD_1995,13,79956,15,5330,6150,2,6594,2,3297,3297
LUCKNOW,BROD_BROD_1995,15,153622,20,7681,10241,6,40681,7,5812,6780
BAREILLY,BROD_BROD_1995,7,53578,7,7654,7654,2,24690,2,12345,12345
DELHI,BROD_BROD_1995,5,35911,7,5130,7182,3,27285,4,6821,9095
VARANASI,BROD_BROD_1995,10,68053,10,6805,6805,4,26682,4,6670,6670
Gurgaon,BROD_BROD_1785,52,261193,56,4664,5023,4,13394,4,3348,3348
SONIPAT,BROD_BROD_1785,30,180140,34,5298,6005,2,3498,2,1749,1749
LUCKNOW,BROD_BROD_2276,9,43088,11,3917,4788,3,9097,3,3032,3032
